188000,130000,63500,64000,67842,188000,130000,63500,64000,67842
11.25,12,12,2.75,17,2444,1170,1016,832,68
35.25,20,14.25,6.25,25,6956,2990,2223,2176,1085
41.25,28,16.5,9.75,32,13912,4940,3175,2432,3189
57.25,36,22,13.75,40,18048,7020,5652,6976,4478
65.25,49,27.5,17.75,44.75,21996,11960,12002,6272,6513
81.25,61.5,31.75,23,49.5,27072,17940,9589,10112,8412
89.25,73,36,28,55,31960,21060,14415,20992,10108
105.25,84.5,41,33.75,60,41924,23660,17018,19136,11533
113.25,89.5,46,41.75,65,44932,33020,17653,25792,12822
129.25,107,51.5,49.75,69,47000,40040,20003,28032,16961
137.25,119.5,63.5,57.75,73,65048,53040,31560,32960,23813
153.25,131.5,75.5,65.75,78,91932,73190,34481,44032,29036
177.25,149.5,87.5,73.75,84,115056,75010,37783,46592,33514
201.25,167,99.5,81.75,89,147016,101010,49975,54016,43758
