Dataset,Nd*Nc,N_d,N_c,N_g,Ns,NUTS,AGS,NUTS,AGS,NUTS,AGS,NUTS,AGS
S1,400 ,200 ,2 ,10 ,20 ,1.51 ,0.96 ,649.28 ,33.46 ,0.9390 ,0.9450 ,6500 ,6191 
S2,800 ,400 ,2 ,10 ,40 ,2.66 ,0.98 ,373.46 ,34.99 ,0.9430 ,0.9500 ,5823 ,5455 
S3,1600 ,800 ,2 ,20 ,40 ,5.05 ,1.63 ,195.21 ,18.63 ,0.9576 ,0.9626 ,3526 ,3310 
S4,600 ,200 ,3 ,10 ,20 ,5.76 ,1.25 ,170.39 ,5.28 ,0.9614 ,0.9660 ,4235 ,3976 
S5,1200 ,400 ,3 ,10 ,40 ,16.63 ,1.29 ,59.78 ,2.03 ,0.9683 ,0.9710 ,3450 ,3305 
S6,2400 ,800 ,3 ,20 ,40 ,40.53 ,2.44 ,24.30 ,1.80 ,0.9677 ,0.9719 ,3993 ,3728 
S7,800 ,200 ,4 ,10 ,20 ,7.64 ,1.63 ,129.25 ,1.59 ,0.9716 ,0.9760 ,2955 ,2718 
S8,1600 ,400 ,4 ,10 ,40 ,23.72 ,1.94 ,41.69 ,1.50 ,0.9639 ,0.9701 ,4406 ,4012 
S9,3200 ,800 ,4 ,20 ,40 ,45.00 ,3.31 ,21.99 ,0.49 ,0.9740 ,0.9770 ,2958 ,2790 
S10,1000 ,200 ,5 ,10 ,20 ,12.12 ,2.06 ,81.26 ,0.70 ,0.9574 ,0.9631 ,4941 ,4593 
S11,2000 ,400 ,5 ,10 ,40 ,24.70 ,2.41 ,39.68 ,0.49 ,0.9782 ,0.9826 ,2514 ,2245 
S12,4000 ,800 ,5 ,20 ,40 ,64.00 ,4.12 ,15.44 ,0.27 ,0.9767 ,0.9804 ,3446 ,3157 
S13,1200 ,200 ,6 ,10 ,20 ,14.66 ,2.44 ,67.49 ,0.23 ,0.9817 ,0.9876 ,2720 ,2721 
S14,2400 ,400 ,6 ,10 ,40 ,42.01 ,2.63 ,20.17 ,0.24 ,0.9922 ,0.9948 ,1339 ,1128 
S15,4800 ,800 ,6 ,20 ,40 ,93.20 ,4.97 ,8.44 ,0.17 ,0.9910 ,0.9940 ,1994 ,1629 
